Region,Country
Alsace Grand Cru 'Osterberg',France
Alsace Grand Cru 'Pfersigberg',France
Alsace Grand Cru 'Praelatenberg',France
Alsace Grand Cru 'Rangen',France
Alsace Grand Cru 'Rosacker',France
Alsace Grand Cru 'Schlossberg',France
Alsace Grand Cru 'Schoenenbourg',France
Alsace Grand Cru 'Sommerberg',France
Alsace Grand Cru 'Sonnenglanz',France
Alsace Grand Cru 'Sporen',France
Alsace Grand Cru 'Steinert',France
Alsace Grand Cru 'Steingrubler',France
Alsace Grand Cru 'Vorbourg',France
Alsace Grand Cru 'Wiebelsberg',France
Alsace Grand Cru 'Zinnkoepfle',France
Alsace Grand Cru 'Zotzenberg',France
Alta Langa,Italy
Alta Mesa,United States
Alta Valle della Greve,Italy
Amador County,United States
Amarante,Portugal
Amarone della Valpolicella,Italy
Amarone della Valpolicella Classico,Italy
Amarone della Valpolicella Valpantena,Italy
Amelia,Italy
Amontillado Sherry,Spain
Amyndeon,Greece
Anapa (Анапа),Russia
Ancient Lakes of Columbia Valley,United States
Andalucía,Spain
Anderson Valley,United States
Anjou,France
Anjou-Villages,France
Ankara,Turkey
Ansonica Costa dell'Argentario,Italy
Apalta Valley,Chile
Applegate Valley,United States
Arabako Txakolina,Spain
Aragatsotn,Armenia
Aragón,Spain
Ararat,Armenia
Arbois,France
Arbois Pupillin,France
Arcole,Italy
Ardèche,France
Arizona,United States
Arkadia,Greece
Arkansas,United States
Armavir,Armenia
Arribes,Spain
Arroyo Grande Valley,United States
Arroyo Seco,United States
Arruda,Portugal
Arínzano,Spain
Asolo Prosecco,Italy
Assisi,Italy
Assmannshausen,Germany
Asti,Italy
Atacama,Chile
Atalanti,Greece
Atesino delle Venezie,Italy
Atlantique,France
Atlas Peak,United States
Atlàntida,Uruguay
Attiki,Greece
Auckland,New Zealand
Aude,France
Augusta,United States
Auxey-Duresses,France
Auxey-Duresses 1er Cru 'Les Duresses',France
Avdira,Greece
Awatere Valley,New Zealand
Badacsony,Hungary
Baden,Germany
Bagnoli,Italy
Baia,Romania
Bairrada,Portugal
Baja California,Mexico
Bajo Aragón,Spain
Balaton,Hungary
Balatonboglár,Hungary
Balatonfüred-Csopak,Hungary
Balavaud,Switzerland
Ballard Canyon,United States
Bamboes Bay,South Africa
Bandol,France
Bangalore,India
Banghoek,South Africa
Bannockburn,New Zealand
Banyuls,France
Barbaresco,Italy
Barbera d'Alba,Italy
Barbera d'Asti,Italy
Barbera del Monferrato,Italy
Barbera del Monferrato Superiore,Italy
Barco Reale di Carmignano,Italy
Bardolino,Italy
Bardolino Chiaretto,Italy
Bardolino Classico,Italy
Bardolino Superiore,Italy
Barolo,Italy
Barolo Chinato,Italy
Barossa,Australia
Barossa Valley,Australia
Barsac,France
Basilicata,Italy
Beamsville Bench,Canada
Beaujolais,France
Beaujolais Nouveau,France
Beaujolais Supérieur,France
Beaujolais-Villages,France
Beaumes-de-Venise,France
Beaune,France
Beaune 1er Cru 'Aux Cras',France
Beaune 1er Cru 'Blanches Fleurs',France
Beaune 1er Cru 'Champs Pimont',France
Beaune 1er Cru 'Le Clos des Mouches',France
Beaune 1er Cru 'Les Aigrots',France
Beaune 1er Cru 'Les Bressandes',France
Beaune 1er Cru 'Les Cent Vignes',France
Beaune 1er Cru 'Les Chouacheux',France
Beaune 1er Cru 'Les Fèves',France
Beaune 1er Cru 'Les Grèves',France
Beaune 1er Cru 'Les Perrières',France
Beaune 1er Cru 'Les Sizies',France
Beaune 1er Cru 'Les Teurons',France
Beaune 1er Cru 'Les Vignes Franches',France
Beaune 1er Cru 'Montée Rouge',France
Beaune Premier Cru,France
Beechworth,Australia
Beira Interior,Portugal
Beiras,Portugal
Bekaa Valley,Lebanon
Benaco Bresciano,Italy
Bendigo,Australia
Beni M'tir,Morocco
Bennett Valley,United States
Bergerac,France
Bergerac Rosé,France
Bergerac Sec,France
Berkane,Morocco
Bern,Switzerland
Bernkastel,Germany
Beudon,Switzerland
Bex,Switzerland
Bianco di Custoza,Italy
Bielersee,Switzerland
Bienvenues-Bâtard-Montrachet Grand Cru,France
Bierzo,Spain
Biferno,Italy
Binissalem-Mallorca,Spain
Bio-Bio Valley,Chile
Biscoitos,Portugal
Black Sea,Bulgaria
Blackwood Valley,Australia
Blagny 1er Cru 'La Pièce sous le Bois',France
Blanquette de Limoux,France
Blaye,France
Blaye-Côtes de Bordeaux,France
Boca,Italy
Bolgheri,Italy
Bolgheri Sassicaia,Italy
Bolgheri Superiore,Italy
Bonarda dell'Oltrepo Pavese,Italy
Bonnes-Mares Grand Cru,France
Bonnezeaux,France
Bonnievale,South Africa
Borba,Portugal
Bordeaux,France
Bordeaux Clairet,France
Bordeaux Moelleux,France
Bordeaux Supérieur,France
Borden Ranch,United States
Bot River,South Africa
Bouches-du-Rhone,France
Bourgogne,France
Bourgogne Aligoté,France
Bourgogne Côtes d'Auxerre,France
Bourgogne Hautes-Côtes de Beaune,France
Bourgogne Hautes-Côtes de Nuits,France
Bourgogne Le Chapitre,France
Bourgogne Montrecul,France
Bourgogne Mousseux,France
Bourgogne Passe-tout-grains,France
Bourgogne Vézelay,France
Bourgueil,France
Bouzéron,France
Brachetto d'Acqui,Italy
Brauneberg,Germany
Breede River Valley,South Africa
Breedekloof,South Africa
Breganze,Italy
Brindisi,Italy
British Columbia,Canada
Brouilly,France
Brunello di Montalcino,Italy
Bual Madeira,Portugal
Bucelas,Portugal
Buenos Aires,Argentina
Bugey,France
Bullas,Spain
Burgenland,Austria
Burkheim,Germany
Buttafuoco dell'Oltrepo Pavese,Italy
Buzet,France
Böchingen,Germany
Bündner Herrschaft,Switzerland
Cabardès,France
Cabernet d'Anjou,France
Cabernet de Saumur,France
Cachapoal Valley,Chile
Cadillac,France
Cadillac-Côtes de Bordeaux,France
Cafayate Valley,Argentina
Cahors,France
Cahul,Moldova
Cairanne,France
Calabria,Italy
Calatayud,Spain
Calaveras County,United States
Calchaqui Valley,Argentina
California,United States
California Shenandoah Valley,United States
Calistoga,United States
Calitzdorp,South Africa
Campanha Gaúcha,Brazil
Campania,Italy
Campi Flegrei,Italy
Campo de Borja,Spain
Campo de la Guardia,Spain
Campos de Cima da Serra,Brazil
Canavese,Italy
Canberra District,Australia
Candia dei Colli Apuani,Italy
Canelones,Uruguay
Cangas,Spain
Cannonau di Sardegna,Italy
Canon-Fronsac,France
Canterbury,New Zealand
Capay Valley,United States
Cape Agulhas,South Africa
Cape Point,South Africa
Cape South Coast,South Africa
Cape Town,South Africa
Capriano del Colle,Italy
Carignano del Sulcis,Italy
Cariñena,Spain
Carmel Valley,United States
Carmelo,Uruguay
Carmignano,Italy
Carnuntum,Austria
Carso,Italy
Carthage,Tunisia
Casa del Blanco,Spain
Casablanca Valley,Chile
Cassis,France
Castel del Monte,Italy
Castelli Romani,Italy
Castilla,Spain
Castilla y León,Spain
Castillon-Côtes de Bordeaux,France
Catalunya,Spain
Catamarca,Argentina
Cava,Spain
Cayuga Lake,United States
Cederberg,South Africa
Center,Mexico
Central,Uruguay
Central Anatolia,Turkey
Central Coast,United States
Central Orange River,South Africa
Central Otago,New Zealand
Central Ranges,Australia
Central Region,United States
Central Serbia,Serbia
Central Valley (CL),Chile
Central Valley (USA),United States
Central Victoria,Australia
Cephalonia,Greece
Cerasuolo d'Abruzzo,Italy
Cerasuolo di Vittoria,Italy
Ceres,South Africa
Cerro Chapeu,Uruguay
Cesanese di Olevano Romano,Italy
Cevennes,France
Chablais,Switzerland
Chablis,France
Chablis 1er Cru 'Beauroy',France
Chablis 1er Cru 'Butteaux',France
Chablis 1er Cru 'Côte de Jouan',France
Chablis 1er Cru 'Côte de Lechet',France
Chablis 1er Cru 'Fourchaume',France
Chablis 1er Cru 'Les Beauregards',France
Chablis 1er Cru 'Les Fourneaux',France
Chablis 1er Cru 'Mont de Milieu',France
Chablis 1er Cru 'Montee de Tonnerre',France
Chablis 1er Cru 'Montmains',France
Chablis 1er Cru 'Vaillons',France
Chablis 1er Cru 'Vau Ligneau',France
Chablis 1er Cru 'Vaulorent',France
Chablis Grand Cru 'Blanchot',France
Chablis Grand Cru 'Bougros',France
Chablis Grand Cru 'Grenouilles',France
Chablis Grand Cru 'La Moutonne',France
Chablis Grand Cru 'Les Clos',France
Chablis Grand Cru 'Preuses',France
Chablis Grand Cru 'Valmur',France
Chablis Grand Cru 'Vaudesir',France
Chablis Premier Cru,France
Chalk Hill,United States
Chalkidiki,Greece
Chalone,United States
Chambolle-Musigny,France
Chambolle-Musigny 1er Cru 'Aux Beaux Bruns',France
Chambolle-Musigny 1er Cru 'Derrière la Grange',France
Chambolle-Musigny 1er Cru 'La Combe d'Orveau',France
Chambolle-Musigny 1er Cru 'Les Amoureuses',France
Chambolle-Musigny 1er Cru 'Les Borniques',France
Chambolle-Musigny 1er Cru 'Les Charmes',France
Chambolle-Musigny 1er Cru 'Les Cras',France
Chambolle-Musigny 1er Cru 'Les Feusselottes',France
Chambolle-Musigny 1er Cru 'Les Fuées',France
Chambolle-Musigny 1er Cru 'Les Gruenchers',France
Chambolle-Musigny 1er Cru 'Les Hauts Doix',France
Chambolle-Musigny 1er Cru 'Les Sentiers',France
Chamoson,Switzerland
Champagne,France
Champagne Grand Cru,France
Champagne Grand Cru 'Ambonnay',France
Champagne Grand Cru 'Avize',France
Champagne Grand Cru 'Aÿ',France
Champagne Grand Cru 'Bouzy',France
Champagne Grand Cru 'Chouilly',France
Champagne Grand Cru 'Cramant',France
Champagne Grand Cru 'Le Mesnil-sur-Oger',France
Champagne Grand Cru 'Mailly',France
Champagne Grand Cru 'Oger',France
Champagne Grand Cru 'Sillery',France
Champagne Grand Cru 'Verzenay',France
Champagne Grand Cru 'Verzy',France
Champagne Premier Cru,France
Chania,Greece
Chao Praya Delta,Thailand
Chardonne,Switzerland
Charentais,France
Charmes-Chambertin Grand Cru,France
Chassagne-Montrachet,France
Chassagne-Montrachet 1er Cru 'Abbaye de Morgeot',France
Chassagne-Montrachet 1er Cru 'Blanchot Dessus',France
Chassagne-Montrachet 1er Cru 'Cailleret',France
Chassagne-Montrachet 1er Cru 'Chassagne du Clos Saint-Jean',France
Chassagne-Montrachet 1er Cru 'Clos Saint Jean',France
Chassagne-Montrachet 1er Cru 'En Cailleret',France
Chassagne-Montrachet 1er Cru 'En Virondot',France
Chassagne-Montrachet 1er Cru 'La Boudriotte',France
Chassagne-Montrachet 1er Cru 'La Grande Montagne',France
Chassagne-Montrachet 1er Cru 'La Maltroie',France
Chassagne-Montrachet 1er Cru 'La Romanée',France
Chassagne-Montrachet 1er Cru 'Les Baudines',France
Chassagne-Montrachet 1er Cru 'Les Chaumes',France
Chassagne-Montrachet 1er Cru 'Les Chenevottes',France
Chassagne-Montrachet 1er Cru 'Les Embazées',France
Chassagne-Montrachet 1er Cru 'Les Fairendes',France
Chassagne-Montrachet 1er Cru 'Les Grandes Ruchottes',France
Chassagne-Montrachet 1er Cru 'Les Murées',France
Chassagne-Montrachet 1er Cru 'Les Petits Clos',France
Chassagne-Montrachet 1er Cru 'Les Vergers',France
Chassagne-Montrachet 1er Cru 'Morgeot',France
Chassagne-Montrachet 1er Cru 'Tête du Clos',France
Chassagne-Montrachet Premier Cru,France
Chehalem Mountains,United States
Cheverny,France
Cheyres,Switzerland
Chianti,Italy
Chianti Classico,Italy
Chianti Colli Fiorentini,Italy
Chianti Colli Senesi,Italy
Chianti Montalbano,Italy
Chianti Montespertoli,Italy
Chianti Rùfina,Italy
Chihuahua,Mexico
Chiles Valley,United States
Chinon,France
Chiroubles,France
Chorey-lès-Beaune,France
Château-Chalon,France
Château-Grillet,France
Châteauneuf-du-Pape,France
Châtillon-en-Diois,France
Chénas,France
Cienega Valley,United States
Cigales,Spain
Cinque Terre,Italy
Cirò,Italy
Cisterna d'Asti,Italy
Cite de Carcassonne,France
Citrusdal Mountain,South Africa
Clairette de Languedoc,France
Clare Valley,Australia
Clarksburg,United States
Clear Lake,United States
Clements Hills,United States
Clos Saint-Denis Grand Cru,France
Clos Vougeot Grand Cru,France
Clos de Tart Grand Cru,France
Clos de la Roche Grand Cru,France
Coahuila,Mexico
Coal River Valley,Australia
Coastal Region,South Africa
Colares,Portugal
Colchagua Valley,Chile
Cole Ranch,United States
Colli Aprutini,Italy
Colli Berici,Italy
Colli Bolognesi,Italy
Colli Bolognesi Classico Pignoletto,Italy
Colli Euganei,Italy
Colli Euganei Fior d'Arancio,Italy
Colli Martani,Italy
Colli Orientali del Friuli,Italy
Colli Orientali del Friuli Picolit,Italy
Colli Piacentini,Italy
Colli Tortonesi,Italy
Colli Trevigiani,Italy
Colli de Scandiano e Canosa,Italy
Colli del Limbara,Italy
Colli della Toscana Centrale,Italy
Colli di Luni,Italy
Colli di Salerno,Italy
Collina del Milanese,Italy
Colline Lucchesi,Italy
Colline Novaresi,Italy
Colline Pescaresi,Italy
Colline Teatine,Italy
Collines Rhodaniennes,France
Collio,Italy
Collioure,France
Colorado,United States
Columbia Gorge,United States
Columbia Gorge Washington,United States
Columbia Valley,United States
Columbia Valley Oregon,United States
Commandaria,Cyprus
Comté Tolosan,France
Comtés Rhodaniens,France
Conca de Barberà,Spain
Condado de Huelva,Spain
Condrieu,France
Conegliano-Valdobbiadene Prosecco,Italy
Conegliano-Valdobbiadene Prosecco Superiore,Italy
Conegliano-Valdobbiadene Prosecco Superiore Rive,Italy
Connecticut,United States
Constantia,South Africa
Contea di Sclafani,Italy
Contessa Entellina,Italy
Continental Greece,Greece
Continental Region,Croatia
Contra Costa County,United States
Controguerra,Italy
Coombsville,United States
Coonawarra,Australia
Copertino,Italy
Corbières,France
Corbières Boutenac,France
Corfu,Greece
Cornas,France
Corsica,France
Cortese dell'Alto Monferrato,Italy
Corti Benedettine del Padovano,Italy
Corton Grand Cru,France
Corton Grand Cru 'Clos des Meix',France
Corton Grand Cru 'Hautes Mourottes',France
Corton Grand Cru 'Le Rognet et Corton',France
Corton Grand Cru 'Les Bressandes',France
Corton Grand Cru 'Les Carrieres',France
Corton Grand Cru 'Les Meix',France
Corton Grand Cru 'Les Perrières',France
Corton Grand Cru 'Les Renardes',France
Corton Grand Cru 'Les Vergennes',France
Corton-Charlemagne Grand Cru,France
Cortona,Italy
Costa Toscana,Italy
Costa d'Amalfi,Italy
Coste della Sesia,Italy
Costers del Segre,Spain
Costières-de-Nîmes,France
Coteaux Bourguignons,France
Coteaux Champenois,France
Coteaux Varois en Provence,France
Coteaux d'Aix-en-Provence,France
Coteaux de Béziers,France
Coteaux de Narbonne,France
Coteaux de Pierrevert,France
Coteaux de Saumur,France
Coteaux de Schengen,Luxembourg
Coteaux des Baronnies,France
Coteaux du Lyonnais,France
Coteaux du Pont du Gard,France
Coteaux du Vendômois,France
Coteaux-d'Ensérune,France
Cotes de l'Orbe,Switzerland
Cream Sherry,Spain
Creek Shores,Canada
Crete,Greece
Cricova,Moldova
Crimeia (Крим),Ukraine
Crozes-Hermitage,France
Crémant d'Alsace,France
Crémant de Bordeaux,France
Crémant de Bourgogne,France
Crémant de Limoux,France
Crémant de Loire,France
Crémant de Luxembourg,Luxembourg
Crémant du Jura,France
Cucamonga Valley,United States
Curico Valley,Chile
Currency Creek,Australia
Curtefranca,Italy
Cyclades,Greece
Cádiz,Spain
Cérons,France
Côte Chalonnaise,France
Côte Roannaise,France
Côte de Beaune,France
Côte de Beaune Villages,France
Côte de Brouilly,France
Côte de Nuits,France
Côte de Nuits Villages,France
Côte-Rôtie,France
Côteaux du Layon,France
Côtes Catalanes,France
Côtes de Bergerac,France
Côtes de Bordeaux,France
Côtes de Bourg,France
Côtes de Duras,France
Côtes de Gascogne,France
Côtes de Grevenmacher,Luxembourg
Côtes de Provence,France
Côtes de Remich,Luxembourg
Côtes de Sambre et Meuse,Belgium
Côtes de Thau,France
Côtes de Thongue,France
Côtes de la Charite,France
Côtes du Jura,France
Côtes du Lot,France
Côtes du Marmandais,France
Côtes du Roussillon,France
Côtes du Roussillon Villages,France
Côtes du Roussillon Villages 'Latour de France',France
Côtes du Vivarais,France
Côtes d’Auvergne,France
Côtes-du-Rhône,France
Côtes-du-Rhône-Villages,France
Côtes-du-Rhône-Villages 'Chusclan',France
Côtes-du-Rhône-Villages 'Laudun',France
Côtes-du-Rhône-Villages 'Massif d'Uchaux',France
Côtes-du-Rhône-Villages 'Plan de Dieu',France
Côtes-du-Rhône-Villages 'Roaix',France
Côtes-du-Rhône-Villages 'Rochegude',France
Côtes-du-Rhône-Villages 'Sablet',France
Côtes-du-Rhône-Villages 'Saint-Gervais',France
Côtes-du-Rhône-Villages 'Seguret',France
Côtes-du-Rhône-Villages 'Signargues',France
Côtes-du-Rhône-Villages 'Valréas',France
Côtes-du-Rhône-Villages 'Visan',France
Dagestan (Дагестан),Russia
Dalmatian Coast,Croatia
Danube,Romania
Danubian Plains,Bulgaria
Daphnes,Greece
Darling,South Africa
Daunia,Italy
Dealu Mare,Romania
Dealurile Olteniei,Romania
Deidesheim,Germany
Delle Venezie,Italy
Delta County,United States
Denizli,Turkey
Denmark,Denmark
Devon,United Kingdom
Dezaley,Switzerland
Diamond Mountain District,United States
Dienheim,Germany
Dingač,Croatia
Dobrudja,Romania
Dodecanese,Greece
Dogliani,Italy
Dolceacqua,Italy
Dolcetto d'Acqui,Italy
Dolcetto d'Alba,Italy
Dolcetto d'Asti,Italy
Dolcetto di Diano d'Alba,Italy
Dolcetto di Ovada,Italy
Dolny Śląsk,Poland
Dominio de Valdepusa,Spain
Don Valley (Долина Дона),Russia
Douro,Portugal
Douro Superior,Portugal
Drama,Greece
Dry Creek Valley,United States
Drăgășani,Romania
Duna,Hungary
Dundee Hills,United States
Dunnigan Hills,United States
Durbanville,South Africa
Duriense,Portugal
Dão,Portugal
Dél-Pannónia,Hungary
Eastern Anatolia,Turkey
Eastern Switzerland,Switzerland
Eden Valley,Australia
Edna Valley,United States
Ege Bolgesi,Turkey
Eger,Hungary
El Dorado,United States
El Dorado County,United States
El Terrerazo,Spain
El-Jadida,Morocco
Elba,Italy
Elgin,South Africa
Elim,South Africa
Elkton Oregon,United States
Eloro,Italy
Elqui Valley,Chile
Emilia,Italy
Emilia-Romagna,Italy
Empordà,Spain
England,United Kingdom
Ensenada,Mexico
Entre-deux-Mers,France
Eola-Amity Hills,United States
Epanomi,Greece
Epesses,Switzerland
Erbach,Germany
Erbaluce di Caluso,Italy
Erden,Germany
Escherndorf,Germany
Esino,Italy
Est! Est!! Est!!! di Montefiascone,Italy
Etna,Italy
Etulia,Moldova
Etyek-Buda,Hungary
Evia,Greece
Evora,Portugal
Extremadura,Spain
Fair Play,United States
Falanghina del Beneventano,Italy
Falanghina del Sannio,Italy
Falerio,Italy
Falerio Pecorino,Italy
Falerno del Massico,Italy
Famatina,Argentina
Faro,Italy
Faugères,France
Felso Magyarorszag,Hungary
Ferguson Valley,Australia
Fiano di Avellino,Italy
Fiddletown,United States
Finger Lakes,United States
Fino Sherry,Spain
Fitou,France
Fixin,France
Flandre,Belgium
Flanthey,Switzerland
Fleurie,France
Fleurieu,Australia
Florida,United States
Florina,Greece
Flörsheim-Dalsheim,Germany
Forst,Germany
Fort Ross-Seaview,United States
Four Mile Creek,Canada
Franche-Comte,France
Franciacorta,Italy
Francs-Côtes de Bordeaux,France
Franken,Germany
Frankland River,Australia
Franschhoek,South Africa
Frascati,Italy
Fraser Valley,Canada
Fredericksburg in the Texas Hill County,United States
Freisa d'Asti,Italy
Freisa di Chieri,Italy
Fresno County,United States
Freycinet Coast,Australia
Friuli,Italy
Friuli Annia,Italy
Friuli Aquileia,Italy
Friuli Grave,Italy
Friuli Isonzo,Italy
Friuli Latisana,Italy
Friuli-Venezia Giulia,Italy
Fronsac,France
Fronton,France
Fthiotida,Greece
Fully,Switzerland
Fyn,Denmark
Gabala,Azerbaijan
Gaillac,France
Galicia,Spain
Galilee,Israel
Gambellara,Italy
Gard,France
Garda,Italy
Gascogne,France
Gattinara,Italy
Gavi,Italy
Geelong,Australia
Gelderland,Netherlands
Gelendzhik (Геленджик),Russia
Genève,Switzerland
Geographe,Australia
Georgia,United States
Gerania,Greece
German Wine,Germany
Gers,France
Getariako Txakolina,Spain
Gevrey-Chambertin,France
Gevrey-Chambertin 1er Cru 'Au Closeau',France
Gevrey-Chambertin 1er Cru 'Aux Combottes',France
Gevrey-Chambertin 1er Cru 'Champeaux',France
Gevrey-Chambertin 1er Cru 'Champonnet',France
Gevrey-Chambertin 1er Cru 'Cherbaudes',France
Gevrey-Chambertin 1er Cru 'Clos Prieur',France
Gevrey-Chambertin 1er Cru 'Clos St Jacques',France
Gevrey-Chambertin 1er Cru 'Clos des Varoilles',France
Gevrey-Chambertin 1er Cru 'Combe au Moine',France
Gevrey-Chambertin 1er Cru 'Craipillot',France
Gevrey-Chambertin 1er Cru 'Estournelles St Jacques',France
Gevrey-Chambertin 1er Cru 'Fonteny',France
Gevrey-Chambertin 1er Cru 'Issarts',France
Gevrey-Chambertin 1er Cru 'La Bossière',France
Gevrey-Chambertin 1er Cru 'La Perrière',France
Gevrey-Chambertin 1er Cru 'La Romanée',France
Gevrey-Chambertin 1er Cru 'Lavaux Saint-Jacques',France
Gevrey-Chambertin 1er Cru 'Les Cazetiers',France
Gevrey-Chambertin 1er Cru 'Les Goulots',France
Gevrey-Chambertin 1er Cru 'Petite Chapelle',France
Gevrey-Chambertin 1er Cru 'Poissenot',France
Gevrey-Chambertin Premier Cru,France
Ghemme,Italy
Gibbston,New Zealand
Gigondas,France
Gimblett Gravels,New Zealand
Gioia del Colle,Italy
Gippsland,Australia
Gisborne,New Zealand
Givry,France
Givry 1er Cru 'Cellier aux Moines',France
Givry 1er Cru 'Clos Charle',France
Givry 1er Cru 'Clos Marole',France
Givry 1er Cru 'Clos Saint-Pierre',France
Givry 1er Cru 'Clos Salomon',France
Givry 1er Cru 'Clos du Cras Long',France
Givry 1er Cru 'La grande Berge',France
Givry 1er Cru 'Le Paradis',France
Givry 1er Cru 'Les grandes Vignes',France
Givry 1er Cru 'Les grands Pretans',France
Givry 1er Cru 'Petit Marole',France
Givry 1er Cru 'Servoisine',France
Givry Premier Cru,France
Gladstone,New Zealand
Gloucestershire,United Kingdom
Goiás,Brazil
Golan Heights,Israel
Golden Mile,Canada
Goriška Brda,Slovenia
Gothenburg,Sweden
Goumenissa,Greece
Gozo,Malta
Graach,Germany
Grampians,Australia
Granada Sur-Oeste,Spain
Grand River Valley,United States
Grand Valley,United States
Grands-Échezeaux Grand Cru,France
Granite Belt,Australia
Grappa di Barbaresco,Italy
Grappa di Barolo,Italy
Grappa di Brunello,Italy
Graubünden,Switzerland
Graves,France
Graves de Vayres,France
Great Southern,Australia
Great Western,Australia
Greater Perth,Australia
Greco di Tufo,Italy
Green Valley of Russian River Valley,United States
Grignan-les-Adhémar,France
Grignolino d'Asti,Italy
Grignolino del Monferrato Casalese,Italy
Griotte-Chambertin Grand Cru,France
Groenekloof,South Africa
Grottino di Roccanova,Italy
Gualtallary,Argentina
Guanajuato,Mexico
Guenoc Valley,United States
Guerrouane,Morocco
Gundagai,Australia
Gutturnio,Italy
Guyenne,France
Hagelandse Wijn,Belgium
Hajós-Baja,Hungary
Hallau,Switzerland
Hames Valley,United States
Happy Canyon of Santa Barbara,United States
Haskovo,Bulgaria
Haspengouwse Wijn,Belgium
Hastings River,Australia
Haut-Médoc,France
Haute Vallee de l'Aude,France
Haute Vallee de l'Orb,France
Hautes-Alpes,France
Haw River Valley,United States
Hawaii,United States
Hawke's Bay,New Zealand
Heathcote,Australia
Heideboden,Austria
Hemel-en-Aarde Ridge,South Africa
Hemel-en-Aarde Valley,South Africa
Henty,Australia
Heraklion,Greece
Hermann,United States
Hermitage,France
Hessische Bergstrasse,Germany
Heuvellandse Wijn,Belgium
High Eden,Australia
High Valley,United States
Hilltops,Australia
Hokkaidō-ken,Japan
Horse Heaven Hills,United States
Howell Mountain,United States
Hudson River Region,United States
Hungary,Hungary
Hunter,Australia
Hunter Valley,Australia
Huon Valley,Australia
Hérault,France
Ibiza,Spain
Ica,Peru
Idaho,United States
Ikaria,Greece
Ile de Beaute,France
Ilia,Greece
Illinois,United States
Indiana,United States
Iowa,United States
Irancy,France
Irouléguy,France
Irpinia,Italy
Irpinia Campi Taurasini,Italy
Ischia,Italy
Isere,France
Islas Baleares,Spain
Islas Canarias,Spain
Ismaros,Greece
Isola dei Nuraghi,Italy
Istria,Croatia
Itata Valley,Chile
Jasnières,France
Jerez-Xérès-Sherry,Spain
Jerusalem,Israel
Johannisberg,Germany
Jonkershoek Valley,South Africa
Juanico,Uruguay
Judean Hills,Israel
Jujuy,Argentina
Juliénas,France
Jumilla,Spain
Jura,France
Jurançon,France
Jutland,Denmark
Južnoslovenská,Slovakia
Kakheti,Georgia
Kamptal,Austria
Kansas,United States
Kanzem,Germany
Karditsa,Greece
Karst,Slovenia
Kartli,Georgia
Kavala,Greece
Kelowna,Canada
Kent,United Kingdom
Kentucky,United States
Kiedrich,Germany
Kindzmarauli,Georgia
King Valley,Australia
Kissamos,Greece
Klein Karoo,South Africa
Knights Valley,United States
Korinthos,Greece
Kos,Greece
Krakow,Poland
Krania,Greece
Krasnodar (Краснодарский),Russia
Kremstal,Austria
Krymsk (Крымск),Russia
Kuban (Кубань),Russia
Kumeu,New Zealand
Kunság,Hungary
Kutjevo,Croatia
Kvareli,Georgia
Kvemo,Georgia
L'Etoile,France
La Clape,France
La Consulta,Argentina
La Côte,Switzerland
La Mancha,Spain
La Pampa,Argentina
La Rioja,Argentina
La Romanée Grand Cru,France
Lacrima di Morro d'Alba,Italy
Ladoix,France
Ladoix 1er Cru 'La Corvée',France
Lago di Caldaro,Italy
Lago di Corbara,Italy
